claim,verdict,evidence_type,basis,boundary
表达残差模型可预测泛癌选择性依赖排序,支持,事实,"内部完整癌系留出患者等权 ΔNDCG=+0.1926，95%区间[+0.1792,+0.2060]",目标是细胞系选择性残差排序，不是患者功能依赖。
冻结表达核岭模型优于公平比较中的最强baseline,未显示优于最强baseline,事实,"癌系等权NDCG：冻结核岭=0.4177，最强baseline expression_pcr_ridge=0.4411；患者等权配对差=-0.0233，95%区间[-0.0288,-0.0180]",比较限于同一DepMap 24Q4完整癌系留出；不是对Nature Cancer或DeepDEP论文结果的直接胜负判断。
冻结表达核岭模型相对PCR-ridge的性能关系可跨Sanger平台保持,PCR-ridge在内部和外部均更好,事实,"64个可公平比较Sanger模型的癌系等权NDCG：冻结核岭=0.1982，PCR-ridge=0.2287；患者等权冻结核岭减PCR=-0.0355，95%区间[-0.0577,-0.0148]",Pleura和Prostate因DepMap样本不足20而未借用其他癌系参数；比较覆盖64/66个冻结外部模型。
该泛癌信号可跨CRISPR平台复现,支持但绝对准确率有限,事实,"66个纯Sanger模型上直接表达 ΔNDCG=+0.1065，95%区间[+0.0776,+0.1360]",跨平台校准为事后提出，且Top-10绝对重叠较低。
表达映射足以稳定支持患者级候选,仅部分支持,事实加推断,Train/Validation Top-100重叠=0.74；映射敏感性Top-10重叠均值=0.3651，Spearman均值=0.8203,稳定性不是准确率，TCGA没有依赖标签，且映射选择显著改变头部候选。
冻结候选在未见TCGA Test患者中保持稳定,支持相对稳定性，不支持功能准确率,事实,Train/Test Top-100重叠=0.75；冻结20 Validation/Test频率Spearman=0.7984；Test映射Top-10重叠=0.3608,Test没有基因扰动标签，且映射敏感性仍高；新baseline不得把已访问Test当作前瞻确认集。
模型已证明ccRCC相对其他Kidney具有额外预测优势,未建立,事实,"ccRCC减其他Kidney的ΔNDCG=+0.0834，95%区间[-0.0558,+0.2239]",区间跨0，样本仅12个ccRCC患者，且分析是探索性的。
模型已证明患者特异ccRCC功能依赖,当前公开数据不可检验,事实,冻结审计中合格患者来源ccRCC基因扰动资源=0,无标签TCGA预测不能替代患者来源扰动真值。
当前候选具有已建立的正常肾治疗窗,未建立,事实加推断,PAX8和HNF1B存在正常肾类器官直接扰动表型；主要候选同时有正常肾表达暴露。,表达与发育类器官表型不能量化成人药物毒性，但足以否定已有安全窗的表述。
当前结果足以提出临床治疗靶点,不支持,推断,"缺少患者来源功能真值、正常肾剂量化安全窗和体内疗效链；映射表达外部17模型 ΔNDCG区间[-0.0099,+0.1285]跨0",可以提出实验优先级，不能宣称临床有效性或安全性。
