dimension,Nature_Cancer_2024,DeepDEP_2021,PanCancer_Dependency_current,interpretation
primary_goal,Build pan-cancer translational dependency maps in TCGA/PDXE/GTEx,Predict tumor dependency profiles using deep transfer learning,Prioritize selective ccRCC dependencies and audit evidence,The current project is narrower and ccRCC-focused
dependency_target,Absolute CERES gene effect for selected predictable genes,Absolute gene dependency profile,Training-gene-mean residual after excluding common-essential genes,Selective residual prediction is the main methodological distinction
DepMap_release,21Q1-era release reported by public code,Earlier DepMap releases,24Q4,Different releases prevent direct comparison of published metric values
model,Per-target elastic net with l1_ratio 0.5,Multi-omics or expression deep neural network,Shared expression linear-kernel ridge plus fixed annotations,Expression dominance is shared with prior work
patient_alignment,Quantile normalization plus contrastive PCA,Unsupervised tumor pretraining and modality encoders,Train-only per-gene mean-shift mapping with frozen sensitivity mapping,Current alignment is simpler and empirically sensitive
cell_line_validation,Ten-fold cross-validation and predictability filtering,Cross-validation plus independent datasets,Whole-lineage holdout with patient-overlap purging,Whole-lineage holdout targets a harder lineage-transfer question
external_functional_validation,PDX drug response and multiplexed synthetic-lethality experiments,Three independent datasets and in-silico synthetic essentiality,Sanger CRISPR and DRIVE-only RNAi,The platforms and validation questions differ
patient_validation,Lineage/driver/subtype/response/outcome associations,Clinical associations in TCGA,Train/Validation stability and one-time locked Test without functional labels,Locked Test supports stability only
normal_tissue,Predicted GTEx dependencies and tolerability analyses,Not the main reported focus,HPA/GTEx exposure plus normal-kidney organoid perturbation audit,Expression and organoid evidence do not establish clinical safety
gene_coverage,1966 cross-validated expression models reported,Model-dependent broad output,14349 TCGA-covered non-common-essential genes ranked,Coverage and selection rules must be reported beside performance
ccRCC_focus,Pan-cancer including KIRC,Pan-cancer,ccRCC-specific candidate audit with 20 frozen candidates,The disease focus is a distinction rather than general superiority
patient_functional_truth,No matched patient gene-knockout truth for TCGA,No matched patient gene-knockout truth for TCGA,None found in the frozen public-resource audit,All three approaches face the same central ground-truth limitation
claim_boundary,Translational dependency resource with PDX/clinical/experimental demonstrations,Tumor dependency prediction resource,Candidate-prioritization workflow and experimental shortlist,Do not claim the current project broadly outperforms either prior work
